customer_id,loyalty_id,first_name,last_name,city,state,signup_date,loyalty_tier,preferred_store_id
CUS-00001,LOY-000001,Emily,Nguyen,Fort Worth,TX,2025-09-27,Standard,PH-005
CUS-00002,LOY-000002,Ava,Wilson,Frisco,TX,2025-11-12,Standard,PH-004
CUS-00003,LOY-000003,Robert,Carter,Fort Worth,TX,2022-08-28,Silver,PH-001
CUS-00004,LOY-000004,Anthony,Lopez,Plano,TX,2024-07-02,Silver,PH-001
CUS-00005,LOY-000005,Kevin,King,Fort Worth,TX,2025-08-06,Standard,PH-005
CUS-00006,LOY-000006,Michael,Chen,Frisco,TX,2023-02-05,Standard,PH-001
CUS-00007,LOY-000007,Jessica,Wilson,Dallas,TX,2024-11-14,Silver,PH-002
CUS-00008,LOY-000008,Emily,Patel,Fort Worth,TX,2025-05-24,Gold,PH-001
CUS-00009,LOY-000009,Mia,Kim,Irving,TX,2022-10-30,Gold,PH-004
CUS-00010,LOY-000010,Rachel,Reed,Frisco,TX,2022-01-25,Silver,PH-003
CUS-00011,LOY-000011,Rachel,Nguyen,Irving,TX,2025-02-22,Standard,PH-002
CUS-00012,LOY-000012,Ava,Wilson,Irving,TX,2024-06-25,Silver,PH-002
CUS-00013,LOY-000013,Grace,Moore,Irving,TX,2026-02-01,Silver,PH-002
CUS-00014,LOY-000014,Brandon,Lopez,Dallas,TX,2022-10-22,Standard,PH-003
CUS-00015,LOY-000015,Emily,Davis,Frisco,TX,2022-05-16,Gold,PH-004
CUS-00016,LOY-000016,Jennifer,Lee,Irving,TX,2025-08-01,Silver,PH-004
CUS-00017,LOY-000017,Sarah,Johnson,Irving,TX,2025-12-25,Gold,PH-002
CUS-00018,LOY-000018,John,Miller,Irving,TX,2023-08-16,Gold,PH-004
CUS-00019,LOY-000019,Robert,Nguyen,Fort Worth,TX,2023-09-15,Silver,PH-005
CUS-00020,LOY-000020,Ava,Wilson,Plano,TX,2022-02-24,Standard,PH-002
CUS-00021,LOY-000021,Daniel,Nguyen,Irving,TX,2022-09-12,Gold,PH-003
CUS-00022,LOY-000022,Laura,Miller,Irving,TX,2025-11-09,Gold,PH-002
CUS-00023,LOY-000023,Amanda,Hill,Frisco,TX,2024-10-06,Standard,PH-005
CUS-00024,LOY-000024,Ava,Kim,Fort Worth,TX,2024-09-11,Gold,PH-004
CUS-00025,LOY-000025,Daniel,Taylor,Irving,TX,2025-11-22,Standard,PH-003
CUS-00026,LOY-000026,Michael,Moore,Fort Worth,TX,2022-02-05,Silver,PH-002
CUS-00027,LOY-000027,Brandon,King,Plano,TX,2023-10-17,Silver,PH-002
CUS-00028,LOY-000028,Rachel,Miller,Dallas,TX,2023-07-13,Silver,PH-004
CUS-00029,LOY-000029,Ethan,Kim,Dallas,TX,2023-08-17,Silver,PH-005
CUS-00030,LOY-000030,Ethan,Tran,Fort Worth,TX,2023-02-01,Gold,PH-002
CUS-00031,LOY-000031,Liam,Hill,Fort Worth,TX,2026-03-22,Standard,PH-005
CUS-00032,LOY-000032,Kevin,Patel,Frisco,TX,2023-07-10,Gold,PH-003
CUS-00033,LOY-000033,Marcus,Johnson,Fort Worth,TX,2023-12-22,Standard,PH-001
CUS-00034,LOY-000034,Melissa,Davis,Frisco,TX,2024-02-03,Silver,PH-004
CUS-00035,LOY-000035,Kevin,Miller,Dallas,TX,2023-03-23,Standard,PH-005
CUS-00036,LOY-000036,Linda,Martinez,Fort Worth,TX,2025-06-10,Gold,PH-005
CUS-00037,LOY-000037,Jessica,Thomas,Fort Worth,TX,2025-12-09,Standard,PH-004
CUS-00038,LOY-000038,David,Tran,Dallas,TX,2022-09-26,Standard,PH-004
CUS-00039,LOY-000039,Rachel,Nguyen,Frisco,TX,2022-10-12,Silver,PH-005
CUS-00040,LOY-000040,Michael,Jackson,Frisco,TX,2022-12-19,Gold,PH-003
CUS-00041,LOY-000041,Amanda,Moore,Dallas,TX,2023-04-01,Standard,PH-002
